,channel,date,min,max,mean,stDev
177,0,2015-11-28,0.024384206160902977,0.2422310709953308,0.08885494885287545,0.051100731024188925
176,0,2015-12-28,-0.012204424478113651,0.11047345399856567,0.036047450986838855,0.022595317435552056
175,0,2016-03-27,0.06508875638246536,0.3139974772930145,0.1823186339796052,0.04307702164546195
174,0,2016-04-26,0.07263028621673584,0.2666364908218384,0.18164042071547615,0.0399376939970341
173,0,2016-06-05,0.025318605825304985,0.6802694201469421,0.19157346943032355,0.1417905063151855
172,0,2016-06-25,0.20703783631324768,0.48258963227272034,0.3028255958196728,0.04565435937541509
171,0,2016-07-15,0.02019776962697506,0.09868711978197098,0.058024481975639544,0.015332623201049212
170,0,2016-08-04,0.2793354094028473,0.3499513268470764,0.32087013042250295,0.01715075176080857
169,0,2016-08-24,-0.02412000298500061,0.14953386783599854,0.019237584023555472,0.028147570029298304
168,0,2016-09-13,-0.02601354755461216,0.05341614782810211,0.014673577247064752,0.013621247348430569
167,0,2016-10-03,0.09167991578578949,0.43275389075279236,0.1803942260123039,0.06014631024432466
166,0,2016-10-23,-0.02825811877846718,0.004238485358655453,-0.013437376927305565,0.00671610816033216
165,0,2016-11-02,-0.011115094646811485,0.07729941606521606,0.023962372104012825,0.014111692006889723
164,0,2016-11-12,0.04307074472308159,0.11373288929462433,0.07383878462074356,0.011196560402855727
163,0,2016-11-22,0.08451757580041885,0.49370554089546204,0.1543489412974943,0.038612380113746965
162,0,2016-12-12,0.17913831770420074,0.41749998927116394,0.28310152761233875,0.05169901309177578
161,0,2016-12-22,0.33555927872657776,0.7623143196105957,0.5497765325298607,0.10170236745994707
160,0,2017-01-01,0.4255916476249695,0.6329150795936584,0.5618025027042219,0.04253796702180088
159,0,2017-01-31,0.48026949167251587,0.7071219086647034,0.6282693797303721,0.041099042398418516
158,0,2017-02-10,0.40797853469848633,0.6927727460861206,0.5583226169726643,0.04939431929252876
157,0,2017-03-02,0.12281674891710281,0.4473971724510193,0.26438556538764774,0.06149068816153725
156,0,2017-03-22,0.2109617441892624,0.4389221668243408,0.29444702505603326,0.043527217290672354
155,0,2017-04-11,0.03128620982170105,0.0614422932267189,0.04656696987244508,0.004927893425282539
154,0,2017-05-01,0.001520164543762803,0.3405211269855499,0.11296584346699867,0.07663756227491293
153,0,2017-05-21,0.05666624382138252,0.08976118266582489,0.07074824644960172,0.005625786478079317
152,0,2017-06-10,-0.21903614699840546,0.21641790866851807,0.023372218265843882,0.057403206077418986
151,0,2017-06-30,-0.040551405400037766,0.2810891568660736,0.07856372124857282,0.061457989818212294
150,0,2017-07-15,0.24126899242401123,0.3802696466445923,0.3231697134962374,0.02542951891151164
149,0,2017-07-20,0.30751708149909973,0.7283040285110474,0.4911175318466605,0.11270874293117662
148,0,2017-08-04,0.198116272687912,0.4323212504386902,0.3097777494857477,0.040835486946126306
147,0,2017-08-09,0.003183413529768586,0.10863697528839111,0.03060707989033284,0.020457904946384674
146,0,2017-08-24,-0.022534988820552826,0.04239360988140106,0.006840774844524227,0.009861058652297094
145,0,2017-08-29,0.25019732117652893,0.775303304195404,0.4988800773786945,0.13192912954872585
144,0,2017-09-13,-0.038248106837272644,0.002942766295745969,-0.018617475036551548,0.008285199130595009
143,0,2017-09-18,0.06470517814159393,0.09858467429876328,0.0827121770197107,0.006374928550819973
142,0,2017-10-03,0.18137255311012268,0.7588257193565369,0.40623909378236545,0.11314636706994088
141,0,2017-10-08,0.03515861928462982,0.17886696755886078,0.08156646361300193,0.02794809670228931
140,0,2017-10-23,-0.02062780223786831,0.6588894128799438,0.17823819224542214,0.08201869191156742
139,0,2017-10-28,0.03737957775592804,0.6703112125396729,0.20452683401662242,0.08170085492059981
138,0,2017-11-02,-0.015582655556499958,0.025202717632055283,0.0016680742876695345,0.007666978207496271
137,0,2017-11-12,0.07896528393030167,0.43199780583381653,0.1439484824159349,0.029896860948754236
136,0,2017-11-17,0.04327113926410675,0.5861365795135498,0.16925224351675017,0.053504587647423316
135,0,2017-11-22,0.08396946638822556,0.4341060519218445,0.1769764739067053,0.0358814113990893
134,0,2017-12-02,-0.05350513383746147,0.05830670893192291,-0.0033983884409274022,0.016018498240495598
133,0,2017-12-07,0.12577833235263824,0.5340477228164673,0.31779427757096834,0.0726895319771459
132,0,2017-12-12,-0.0055827731266617775,0.2728642523288727,0.08749606838520242,0.04827812905464464
131,0,2017-12-22,0.32175689935684204,0.7552363872528076,0.5965204710646194,0.08748238811154997
130,0,2017-12-27,0.35942596197128296,0.7265238761901855,0.6294123491575552,0.06486650644520343
129,0,2018-01-01,0.4136088490486145,0.7349468469619751,0.6540404832640365,0.05452688707531946
128,0,2018-01-11,0.4589889645576477,0.7345424294471741,0.676484273662863,0.036345836447292106
127,0,2018-01-16,0.07410702854394913,0.10949624329805374,0.09136921356814784,0.00681634167876217
126,0,2018-01-31,0.35082873702049255,0.7235853672027588,0.6457921557648234,0.05859495973694232
125,0,2018-02-05,0.4631061255931854,0.7379112839698792,0.673022169891254,0.037330621326534905
124,0,2018-02-10,0.3871961534023285,0.6984249949455261,0.6062418680782463,0.05963304777596052
123,0,2018-02-15,0.08263032883405685,0.6575682163238525,0.47624382598455595,0.16987645638204846
122,0,2018-02-20,0.3016290068626404,0.681024432182312,0.5560822956783829,0.07061344134880256
121,0,2018-02-25,0.13400867581367493,0.28247421979904175,0.21766321273275122,0.02822880603097993
120,0,2018-03-02,0.2255639135837555,0.529757559299469,0.3469590917114139,0.0619954892748804
119,0,2018-03-07,0.019031720235943794,0.16768401861190796,0.09469493127377461,0.02685111370343427
118,0,2018-03-12,0.010651272721588612,0.022980105131864548,0.016008315466402086,0.0021259486571686415
117,0,2018-03-17,0.1609865427017212,0.2726406157016754,0.21446508682051396,0.019569890737336563
116,0,2018-03-22,0.19970951974391937,0.4308903217315674,0.26941626864348284,0.025744905845815617
115,0,2018-03-27,0.15761448442935944,0.42423462867736816,0.2517358346964961,0.03585886470716177
114,0,2018-04-01,-0.1343214511871338,0.15842722356319427,0.035132463389597926,0.03648051258672019
113,0,2018-04-06,0.022097820416092873,0.035407960414886475,0.029091872664731577,0.0022728808447694767
112,0,2018-04-11,-0.025517644360661507,0.2066752314567566,0.029157698259561677,0.03716191260423533
111,0,2018-04-16,0.08644729852676392,0.3610043525695801,0.21542472484730907,0.045073140214945843
110,0,2018-04-21,0.056281980127096176,0.3414634168148041,0.19338894469677942,0.05495978109035357
109,0,2018-04-26,-0.0615384615957737,0.4305882453918457,0.08367800354269925,0.07415601381155329
108,0,2018-05-01,0.030443159863352776,0.44027483463287354,0.1331128481948792,0.04907069973377798
107,0,2018-05-06,0.1438763439655304,0.28194472193717957,0.18972117064535166,0.01960681252679182
106,0,2018-05-11,-0.035777293145656586,0.04580257087945938,6.968578359368357e-05,0.013765053498805154
105,0,2018-05-16,-0.12271176278591156,0.16241903603076935,0.0022191650925886385,0.04408349138642336
104,0,2018-05-21,-0.0017466723220422864,0.014111571945250034,0.0069212567985514435,0.0023770449880258387
103,0,2018-05-26,-0.23407521843910217,0.1409395933151245,-0.09414262633469286,0.07734591605320676
102,0,2018-05-31,0.030331095680594444,0.32605937123298645,0.16462599105208883,0.02845200250256236
101,0,2018-06-05,-0.013988236896693707,0.03731543570756912,0.0115499898715959,0.008858128358343244
100,0,2018-06-10,0.03357531875371933,0.34581559896469116,0.17229278618975205,0.04935198437046167
99,0,2018-06-15,-0.05210772901773453,0.32286760210990906,0.17559933160402805,0.05218271771530935
98,0,2018-06-20,0.17623859643936157,0.3479464650154114,0.25857809821302524,0.034845850169405515
97,0,2018-06-25,0.2400921732187271,0.4232122004032135,0.32392399197863037,0.037260716378912664
96,0,2018-06-30,0.006012536585330963,0.6571035385131836,0.2770065602406051,0.167923949712031
95,0,2018-07-05,0.032726045697927475,0.4958990514278412,0.32081439193598077,0.11328045702662896
94,0,2018-07-10,-0.00050389114767313,0.013740286231040955,0.005494082411207421,0.00250689912989074
93,0,2018-07-15,0.013278505764901638,0.032967034727334976,0.02390579031996949,0.0030494379855856976
92,0,2018-07-20,0.05127587914466858,0.5931654572486877,0.32615400270320655,0.15639649658430962
91,0,2018-07-25,-0.05894332006573677,0.1626993864774704,0.00834239781611957,0.03091625056437926
90,0,2018-07-30,0.021405983716249466,0.14216038584709167,0.08209442096625187,0.025133055076120143
89,0,2018-08-04,0.06408929079771042,0.0843486413359642,0.07298321222612107,0.003116420588445854
88,0,2018-08-09,0.05644582584500313,0.16762825846672058,0.08940235179986149,0.0227784686652634
87,0,2018-08-14,0.3122866749763489,0.4072538912296295,0.37442300985025795,0.014164014706692889
86,0,2018-08-19,0.026541167870163918,0.04530215635895729,0.036678418725035904,0.0031403524600142614
85,0,2018-08-24,0.018110530450940132,0.4880382716655731,0.14554878179879172,0.13184234199747208
84,0,2018-08-29,0.26886382699012756,0.349968820810318,0.3126140335271527,0.013628069914347613
83,0,2018-09-03,0.32825320959091187,0.6496012210845947,0.5009600701720214,0.04321338346436437
82,0,2018-09-08,0.12185686826705933,0.6558018326759338,0.3812636509884235,0.08526103611259093
81,0,2018-09-13,0.19100113213062286,0.5507642030715942,0.3016856997512107,0.06443931745577602
80,0,2018-09-18,-0.06289881467819214,0.07853483408689499,0.00017721378492631764,0.025676935036155788
79,0,2018-09-28,-0.02867993712425232,0.040609803050756454,0.014229634656325374,0.012785636862862356
78,0,2018-10-03,-0.0027926459442824125,0.36732569336891174,0.134823830183523,0.05305835889866749
77,0,2018-10-08,0.0019092644797638059,0.01610276848077774,0.00937173989215188,0.002382471593544783
76,0,2018-10-13,0.036541786044836044,0.06668413430452347,0.04750090623202246,0.004650766572307843
75,0,2018-10-18,-0.1262037456035614,0.5268761515617371,0.11306952150712737,0.08447200408249747
74,0,2018-10-23,0.028595110401511192,0.16065053641796112,0.08100530427497947,0.01786923061746355
73,0,2018-10-28,-0.07417027652263641,0.3465176224708557,0.07999327236474237,0.0607291697837826
72,0,2018-11-02,0.0235902052372694,0.11248402297496796,0.07444805271865777,0.01764668916373103
71,0,2018-11-07,0.11739961802959442,0.16133885085582733,0.13793633924436213,0.0068027879143736205
70,0,2018-11-12,0.10220441222190857,0.30617284774780273,0.14807395981263707,0.03438963392390572
69,0,2018-11-17,-0.07209204882383347,0.059451960027217865,-0.0012753371169380925,0.0170974552746919
68,0,2018-11-22,0.10450097918510437,0.5949210524559021,0.23846255954383896,0.078721145187993
67,0,2018-11-27,0.22081921994686127,0.4380258023738861,0.2998165905244594,0.038819646324959954
66,0,2018-12-02,0.14805705845355988,0.6856092810630798,0.40679417668386936,0.10958237638092388
65,0,2018-12-07,0.23871906101703644,0.5710487365722656,0.3995201280874796,0.06258151300750835
64,0,2018-12-12,0.25315067172050476,0.3980099558830261,0.33618684013684574,0.024446467178576896
63,0,2018-12-17,0.39260968565940857,0.7324099540710449,0.6195899079474365,0.05986501146282972
62,0,2018-12-22,-0.06240268424153328,0.05422240495681763,-0.005343906244541903,0.017535550155746062
61,0,2018-12-27,0.017903733998537064,0.7812348008155823,0.21111934069226398,0.20233930168840036
60,0,2019-01-01,0.26703497767448425,0.6694214940071106,0.4593518541764845,0.07664102636474915
59,0,2019-01-06,0.4422285556793213,0.8098535537719727,0.7523309679918512,0.0413354822380829
58,0,2019-01-11,0.508816123008728,0.7797356843948364,0.7271004204602203,0.049995878154728335
57,0,2019-01-16,0.4389741122722626,0.7427016496658325,0.6678362238314721,0.054392013053440505
56,0,2019-01-21,0.12109331041574478,0.41384389996528625,0.25447120958751507,0.07286920134946188
55,0,2019-01-26,0.36532098054885864,0.7391987442970276,0.6223351882409671,0.07748774779224646
54,0,2019-01-31,0.48636823892593384,0.7477477192878723,0.6722524066304055,0.04212690813859553
53,0,2019-02-05,0.006435006391257048,0.03404255211353302,0.023086654636720123,0.004860916455160751
52,0,2019-02-10,0.4689922332763672,0.7004689574241638,0.6057635147904237,0.044701091468053296
51,0,2019-02-15,0.3411931097507477,0.6114732623100281,0.4919439302858455,0.046601631031552605
50,0,2019-02-20,0.34647706151008606,0.5818915963172913,0.4517762115297394,0.04387818085543059
49,0,2019-02-25,0.2540655732154846,0.5042780637741089,0.34619252806486056,0.041619017011681164
48,0,2019-03-02,0.17029400169849396,0.4529816508293152,0.27273114575434126,0.04350635393764483
47,0,2019-03-07,0.016149068251252174,0.12963810563087463,0.05092231784622341,0.016627033056206872
46,0,2019-03-12,0.18718592822551727,0.35128965973854065,0.2232368323692055,0.027983099064849647
45,0,2019-03-17,-0.008104692213237286,0.1738986372947693,0.0560220503032816,0.0444407819120526
44,0,2019-03-22,0.1275094896554947,0.48893478512763977,0.24247099193491667,0.06533187205527519
43,0,2019-03-27,0.1399577111005783,0.45590510964393616,0.2470655002335244,0.05634808679390156
42,0,2019-04-01,0.021577883511781693,0.29461389780044556,0.13947429586519575,0.05080933932474869
41,0,2019-04-06,-0.05781584605574608,0.2153163105249405,0.07167964482882108,0.0412089510050696
40,0,2019-04-11,0.07723935693502426,0.19900497794151306,0.12351439964863684,0.020349718262816736
39,0,2019-04-16,0.008708273060619831,0.3519441783428192,0.11006905810488748,0.06717318096429206
38,0,2019-04-21,0.10279001295566559,0.2379603385925293,0.154460421447144,0.02447341523692035
37,0,2019-04-26,0.005261091515421867,0.016818001866340637,0.011150575405376603,0.0018527686345281872
36,0,2019-05-01,0.014647887088358402,0.22094593942165375,0.08496312763426427,0.03404959200055399
35,0,2019-05-06,0.023218141868710518,0.4528051018714905,0.11385696294118272,0.052849339535803584
34,0,2019-05-11,-0.06617375463247299,0.2971770763397217,0.07566883675307366,0.052544394067330205
33,0,2019-05-16,0.0072916666977107525,0.3527446389198303,0.09843656432908754,0.03851406745780947
32,0,2019-05-21,0.027504045516252518,0.09098725020885468,0.06546259721697766,0.007709985485200118
31,0,2019-05-26,0.10734463483095169,0.48390474915504456,0.20834262210500332,0.04871210905794161
30,0,2019-05-31,0.11958000808954239,0.2558365762233734,0.18564277751039157,0.026185121592309516
29,0,2019-06-05,0.20987653732299805,0.5724208950996399,0.37679722244425323,0.07076436461048989
28,0,2019-06-10,0.0737694576382637,0.11443059146404266,0.09756588941627696,0.007169496262390995
27,0,2019-06-15,0.30142566561698914,0.5689240097999573,0.44293135801951067,0.04717721921176372
26,0,2019-06-20,0.023534169420599937,0.043097030371427536,0.03165486845397211,0.0033597949500786964
25,0,2019-06-25,0.1552138328552246,0.19457761943340302,0.17543831296669418,0.007253538061772354
24,0,2019-06-30,0.29481908679008484,0.4099330008029938,0.37760366986888366,0.01604940787336456
23,0,2019-07-05,0.27769213914871216,0.3852536380290985,0.3439475468424864,0.019054852877072485
22,0,2019-07-10,-0.07255002856254578,0.11258453875780106,0.02725229613447305,0.021772971646159506
21,0,2019-07-15,0.013799243606626987,0.1551768034696579,0.1022670690764405,0.029299287130848173
20,0,2019-07-20,0.026398055255413055,0.0442570224404335,0.0357095428417588,0.002683158176661879
19,0,2019-07-25,0.12804073095321655,0.7219523191452026,0.4033409187960069,0.12160923206098753
18,0,2019-07-30,0.43598055839538574,0.5657619833946228,0.5144474015217422,0.01778240448322234
17,0,2019-08-04,0.015374621376395226,0.15854471921920776,0.080255696934092,0.03752933507914756
16,0,2019-08-09,-0.01612594723701477,-0.0035272238310426474,-0.009736276412195,0.0018929187208910968
15,0,2019-08-14,0.13560587167739868,0.6801305413246155,0.42445861332176266,0.13154669917119
14,0,2019-08-19,0.3680940866470337,0.6234261989593506,0.5114963726941929,0.037777832353705985
13,0,2019-08-24,-0.018733274191617966,0.02518291585147381,0.008641254058416373,0.005808101224351845
12,0,2019-08-29,0.30817610025405884,0.5437379479408264,0.4062132897303091,0.05286941312439964
11,0,2019-09-03,0.2740795910358429,0.6485081911087036,0.3923390325649764,0.05042514672098063
10,0,2019-09-08,0.23533503711223602,0.600246250629425,0.3736653948477074,0.046738023505046446
9,0,2019-09-13,-0.04413020610809326,0.11496278643608093,0.03895062851206746,0.03189231638091052
8,0,2019-09-18,-0.1150941252708435,0.2381209433078766,0.06352558955473486,0.0559582597671059
7,0,2019-09-23,-0.034084949642419815,0.00102075538598001,-0.012273286716302297,0.007221427770860293
6,0,2019-09-28,0.14151284098625183,0.23573510348796844,0.17489050201667397,0.020230742440055214
5,0,2019-10-03,0.02368219941854477,0.3899913728237152,0.1790424384378876,0.0750096813224912
4,0,2019-10-08,0.03156480938196182,0.11068540066480637,0.07386165010028112,0.016053647449142557
3,0,2019-10-13,0.0027051398064941168,0.6641452312469482,0.21017792222393286,0.12230800303347063
2,0,2019-10-18,-0.07445255666971207,0.6317002773284912,0.12184575533209183,0.07848915950973913
1,0,2019-10-23,0.07409439980983734,0.38417917490005493,0.15257328300513043,0.04067671459823648
0,0,2019-10-28,0.0165235698223114,0.02816445380449295,0.02268716485290102,0.001984249139096589
